Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,,,#date+year,#indicator+type,#indicator+value+num,,
LKA,2002-06-01,2002-06-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2002,2002,,27.844146,I,base year is 2015
LKA,2003-06-01,2003-06-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2003,2003,,29.394251,I,base year is 2015
LKA,2004-06-01,2004-06-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2004,2004,,31.871271,I,base year is 2015
LKA,2005-06-01,2005-06-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2005,2005,,35.988793,I,base year is 2015
LKA,2006-06-01,2006-06-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2006,2006,,40.734505,I,base year is 2015
LKA,2007-06-01,2007-06-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2007,2007,,47.667434,I,base year is 2015
LKA,2008-06-01,2008-06-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2008,2008,,64.956274,I,base year is 2015
LKA,2009-06-01,2009-06-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2009,2009,,65.558333,I,base year is 2015
LKA,2010-06-01,2010-06-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2010,2010,,69.740897,I,base year is 2015
LKA,2011-06-01,2011-06-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2011,2011,,75.887679,I,base year is 2015
LKA,2012-06-01,2012-06-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2012,2012,,84.653590,I,base year is 2015
LKA,2013-06-01,2013-06-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2013,2013,,91.840493,I,base year is 2015
LKA,2014-06-01,2014-06-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2014,2014,,96.349874,X,base year is 2015
LKA,2015-06-01,2015-06-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2015,2015,,99.965254,X,base year is 2015
LKA,2016-06-01,2016-06-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2016,2016,,107.557552,X,base year is 2015
LKA,2017-06-01,2017-06-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2017,2017,,116.776770,X,base year is 2015
LKA,2018-06-01,2018-06-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2018,2018,,117.409462,X,base year is 2015
LKA,2019-06-01,2019-06-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2019,2019,,113.974851,X,base year is 2015
LKA,2020-06-01,2020-06-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2020,2020,,129.430600,X,base year is 2015
LKA,2021-06-01,2021-06-30,38,'144,Sri Lanka,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2021,2021,,142.174814,X,base year is 2015
